# Gabbard et al. (2025), experimental data, extracted from
# "LowWeberDropRebound - Data.xlsx" (harrislab-brown/LowWeberDropRebound),
# sheet 2, the Experiment block. Dimensionless throughout.
We,We_unc,cor,cor_unc,Oh,Bo
0.03978564875923775,0.0028830798116103256,0.8004496343783288,0.04509604346777153,0.03954341493145688,0.006464355632595038
0.027096502931144177,0.0025894037806266867,0.867727912224873,0.062214313077388055,0.03941938571709555,0.006546098248313821
0.020094225665166547,0.0024409443102191386,0.7964334710962939,0.08792613833286662,0.04180116464479181,0.005176883598684167
0.04774392949231133,0.003114677606081974,0.7829037231864248,0.044114656184566975,0.040321390794685254,0.005979707124010784
0.02360276913197648,0.003072127395940495,0.8143873444405036,0.08479968526003197,0.04042330300811497,0.005919632421135836
0.09077878282638821,0.005348233529658126,0.7786530125459987,0.037837731739980784,0.04552606455556473,0.0036794379955263586
0.014648080735501542,0.0017063977726013292,0.8223872034117238,0.07309045469074087,0.04051718201057095,0.005864959248931514
0.12817366140213807,0.014714269956433877,0.8083579639151136,0.08604546780871374,0.02990053983771192,0.019774513649764725
0.08357013245984492,0.009571626361841536,0.8106476241974278,0.0877804627656566,0.029850850017510273,0.019906509648510862
0.14007609193932,0.01563181708183264,0.803197753085131,0.08111731495667708,0.0301349531878123,0.01916636893348966
0.0851569232031556,0.008397778344788666,0.8499784234692008,0.08448982188458344,0.03008454429915512,0.01929515085674776
0.1435546464016461,0.017178769700481468,0.8031174355687258,0.08426215641874508,0.029833948273633382,0.019951658315877176
0.09271190983926104,0.009058016139435566,0.7904926689555077,0.07551034829624281,0.029805572135353835,0.02002774610574044
0.24220493066643922,0.02023194991489048,0.8139505018719269,0.06956776379586727,0.02963813117274685,0.02048418384940781
0.15901693410142867,0.018357975764247105,0.7958313645135993,0.08406257236298016,0.029601163168244293,0.02058670403156804
0.2287199695836256,0.02231802760132914,0.8175287044339652,0.07573990719185103,0.029968059899749627,0.01959690177859286
0.14682627699818848,0.015065934807377267,0.8202792687635938,0.08055099164768521,0.029925635612578064,0.01970826505231186
0.22928789465048718,0.022279414568315344,0.814105354754549,0.07897786087869665,0.02988857854242139,0.019806187397169807
0.15249365175561003,0.018283693483828238,0.8185682035247244,0.08121106850204997,0.029839310305824807,0.019937321174680712
0.16218580158087267,0.017468778239757593,0.8071999504406341,0.08493448781663146,0.02925759079997627,0.021570871027660123
0.10802332726867304,0.012028483560247894,0.8242198177058535,0.0724346866857226,0.029254060760307333,0.021581284599270504
