ppm,kind,We,cor,tc,Oh_0,ok,wall_s
0,experiment,0.02998266,0.83450232,1.8062443130757588,0.006766649524509585,true,0.0
0,experiment,0.020483494,0.82481291,2.1346523699986237,0.006766649524509585,true,0.0
0,experiment,0.013824339,0.811478672,2.1346523699986237,0.006766649524509585,true,0.0
0,experiment,0.057062674,0.870817994,2.1346523699986237,0.006766649524509585,true,0.0
0,experiment,0.042931034,0.856052383,2.2988563984600567,0.006766649524509585,true,0.0
0,experiment,0.031147859,0.848516777,2.4630604269214893,0.006766649524509585,true,0.0
0,experiment,0.022775066,0.834533095,2.4630604269214893,0.006766649524509585,true,0.0
0,experiment,0.016020082,0.81979087,2.627264455382922,0.006766649524509585,true,0.0
0,experiment,0.011208599,0.80799278,2.7914684838443544,0.006766649524509585,true,0.0
0,experiment,0.007713328,0.803694925,2.955672512305787,0.006766649524509585,true,0.0
0,experiment,0.035447649,0.845969048,2.4630604269214893,0.006766649524509585,true,0.0
0,experiment,0.025057374,0.834300923,2.4630604269214893,0.006766649524509585,true,0.0
0,experiment,0.017592671,0.827785973,2.627264455382922,0.006766649524509585,true,0.0
0,experiment,0.012121191,0.814417933,2.7914684838443544,0.006766649524509585,true,0.0
0,experiment,0.009220616,0.791165722,2.4630604269214893,0.006766649524509585,true,0.0
0,simulation,0.007713328,0.9499966061178983,4.008761076774958,0.006766649524509585,true,57.6
0,simulation,0.010895780704106635,0.9532423036914461,3.8104617495633164,0.006766649524509585,true,39.9
0,simulation,0.015391285986020886,0.9558012796847383,3.6538613014105343,0.006766649524509585,true,38.7
0,simulation,0.02174159803107987,0.9571882080036622,3.5027857824709367,0.006766649524509585,true,36.3
0,simulation,0.030711994135797532,0.9585626156532954,3.340470335651952,0.006766649524509585,true,34.8
0,simulation,0.04338349841851129,0.9600663471591544,3.180159632586032,0.006766649524509585,true,33.7
0,simulation,0.06128315623879293,0.9601706800113907,3.0543165072973752,0.006766649524509585,true,32.8
0,simulation,0.08656805872035936,0.957578750751624,2.945975780348772,0.006766649524509585,true,31.8
0,simulation,0.12228529420728147,0.9518863316834159,2.8444431433751634,0.006766649524509585,true,30.2
0,simulation,0.17273915345227125,0.9425013076918701,2.747567690550441,0.006766649524509585,true,29.3
0,simulation,0.2440098405032137,0.9294737317608253,2.65122149910077,0.006766649524509585,true,29.0
0,simulation,0.3446861992342415,0.9127336934096175,2.558052758573273,0.006766649524509585,true,27.6
0,simulation,0.48690075653314674,0.8921094019542738,2.4732298000843604,0.006766649524509585,true,26.9
0,simulation,0.6877918153939238,0.8678464068208239,2.3984230706367455,0.006766649524509585,true,26.2
0,simulation,0.9715687950274627,0.8394885517281458,2.3316522299203797,0.006766649524509585,true,25.6
0,simulation,1.3724297125148008,0.8077991289409024,2.26822887441428,0.006766649524509585,true,25.3
0,simulation,1.9386823922645822,0.7730648444006598,2.2070645157149666,0.006766649524509585,true,24.7
0,simulation,2.738566051,0.7372518243278103,2.1436200055776227,0.006766649524509585,true,23.6
300,experiment,0.041723579,0.856361779,2.2988563984600567,0.5030728437706891,true,0.0
300,experiment,0.031633325,0.840594122,2.2988563984600567,0.5030728437706891,true,0.0
300,experiment,0.02259346,0.836096149,2.4630604269214893,0.5030728437706891,true,0.0
300,experiment,0.015643992,0.834171163,2.7914684838443544,0.5030728437706891,true,0.0
300,experiment,0.010990044,0.818342411,2.7914684838443544,0.5030728437706891,true,0.0
300,experiment,0.007507821,0.828312711,2.7914684838443544,0.5030728437706891,true,0.0
300,experiment,0.003596877,0.749751068,3.1198765407672195,0.5030728437706891,true,0.0
300,experiment,0.112713181,0.868694118,1.9704483415371912,0.5030728437706891,true,0.0
300,experiment,0.086712348,0.860446858,1.9704483415371912,0.5030728437706891,true,0.0
300,experiment,0.07166937,0.857674567,1.9704483415371912,0.5030728437706891,true,0.0
300,experiment,0.053132133,0.846451038,2.1346523699986237,0.5030728437706891,true,0.0
300,experiment,0.038150507,0.845253366,2.2988563984600567,0.5030728437706891,true,0.0
300,experiment,0.027440138,0.84487974,2.2988563984600567,0.5030728437706891,true,0.0
300,experiment,0.07051114,0.863663149,2.2988563984600567,0.5030728437706891,true,0.0
300,experiment,0.05398407,0.845890071,2.2988563984600567,0.5030728437706891,true,0.0
300,experiment,0.039698405,0.83605126,2.2988563984600567,0.5030728437706891,true,0.0
300,experiment,0.028546171,0.830674928,2.4630604269214893,0.5030728437706891,true,0.0
300,experiment,0.020434737,0.79516301,2.7914684838443544,0.5030728437706891,true,0.0
300,experiment,0.0624438,0.856572449,2.1346523699986237,0.5030728437706891,true,0.0
300,experiment,0.046542505,0.844803157,2.2988563984600567,0.5030728437706891,true,0.0
300,experiment,0.034319969,0.825822315,2.2988563984600567,0.5030728437706891,true,0.0
300,experiment,0.024005031,0.820777957,2.4630604269214893,0.5030728437706891,true,0.0
300,experiment,0.016738876,0.814036031,2.627264455382922,0.5030728437706891,true,0.0
300,experiment,0.043994314,0.85295865,2.1346523699986237,0.5030728437706891,true,0.0
300,experiment,0.032637252,0.828580482,2.2988563984600567,0.5030728437706891,true,0.0
300,experiment,0.022596632,0.820566281,2.4630604269214893,0.5030728437706891,true,0.0
300,experiment,0.015616295,0.804128983,2.627264455382922,0.5030728437706891,true,0.0
300,experiment,0.010650745,0.798926609,2.627264455382922,0.5030728437706891,true,0.0
300,experiment,0.010613235,0.811986871,2.7914684838443544,0.5030728437706891,true,0.0
300,experiment,0.007305647,0.774477646,2.7914684838443544,0.5030728437706891,true,0.0
300,experiment,0.039769241,0.845422828,2.1346523699986237,0.5030728437706891,true,0.0
300,experiment,0.028811963,0.831076105,2.2988563984600567,0.5030728437706891,true,0.0
300,experiment,0.019747429,0.818689654,2.4630604269214893,0.5030728437706891,true,0.0
300,experiment,0.064348557,0.859814087,2.1346523699986237,0.5030728437706891,true,0.0
