gamma_mN_m,mu_mPa_s,We,Oh,Bo,cor
38,1,1.14686,0.00937994,0.0231645,0.805831
38,1,1.45853,0.00937994,0.0231645,0.782608
38,1,1.85488,0.00937994,0.0231645,0.758425
38,1,2.35895,0.00937994,0.0231645,0.733522
38,1,3,0.00937994,0.0231645,0.708311
28,1,0.0002,0.0109273,0.0314375,0
28,1,0.000225544,0.0109273,0.0314375,0
28,1,0.00025435,0.0109273,0.0314375,0
28,1,0.00032347,0.0109273,0.0314375,0
28,1,0.000364784,0.0109273,0.0314375,0
28,1,0.000411374,0.0109273,0.0314375,0
28,1,0.000463915,0.0109273,0.0314375,0
28,1,0.000523166,0.0109273,0.0314375,0
28,1,0.000589984,0.0109273,0.0314375,0
28,1,0.000665337,0.0109273,0.0314375,0
28,1,0.000846143,0.0109273,0.0314375,0
28,1,0.00107608,0.0109273,0.0314375,0
28,1,0.00136851,0.0109273,0.0314375,0
28,1,0.00141026,0.0109273,0.0314375,0
28,1,0.00145328,0.0109273,0.0314375,0.425179
28,1,0.00149761,0.0109273,0.0314375,0.568618
28,1,0.0015433,0.0109273,0.0314375,0.650842
28,1,0.00159038,0.0109273,0.0314375,0.70558
28,1,0.00163889,0.0109273,0.0314375,0.744927
28,1,0.00168889,0.0109273,0.0314375,0.774648
28,1,0.00174041,0.0109273,0.0314375,0.797886
28,1,0.0017935,0.0109273,0.0314375,0.816535
28,1,0.00184821,0.0109273,0.0314375,0.831824
28,1,0.00196269,0.0109273,0.0314375,0.855342
28,1,0.00221336,0.0109273,0.0314375,0.885595
28,1,0.00281485,0.0109273,0.0314375,0.916134
28,1,0.00357979,0.0109273,0.0314375,0.928769
28,1,0.0045526,0.0109273,0.0314375,0.931671
28,1,0.00578978,0.0109273,0.0314375,0.931835
28,1,0.00736316,0.0109273,0.0314375,0.929653
28,1,0.00936411,0.0109273,0.0314375,0.927833
28,1,0.0119088,0.0109273,0.0314375,0.928509
28,1,0.0151451,0.0109273,0.0314375,0.931606
28,1,0.0192608,0.0109273,0.0314375,0.935656
28,1,0.0244949,0.0109273,0.0314375,0.938699
28,1,0.0311514,0.0109273,0.0314375,0.940868
28,1,0.0396169,0.0109273,0.0314375,0.942051
28,1,0.0503828,0.0109273,0.0314375,0.942872
28,1,0.0640744,0.0109273,0.0314375,0.942907
28,1,0.0814868,0.0109273,0.0314375,0.941401
28,1,0.103631,0.0109273,0.0314375,0.938253
28,1,0.131793,0.0109273,0.0314375,0.932992
28,1,0.167608,0.0109273,0.0314375,0.92572
28,1,0.213155,0.0109273,0.0314375,0.916254
28,1,0.271081,0.0109273,0.0314375,0.904706
28,1,0.344747,0.0109273,0.0314375,0.891086
28,1,0.438433,0.0109273,0.0314375,0.875444
28,1,0.557578,0.0109273,0.0314375,0.857933
28,1,0.7091,0.0109273,0.0314375,0.838547
28,1,0.901799,0.0109273,0.0314375,0.817557
28,1,1.14686,0.0109273,0.0314375,0.795184
28,1,1.45853,0.0109273,0.0314375,0.771675
28,1,1.85488,0.0109273,0.0314375,0.747304
28,1,2.35895,0.0109273,0.0314375,0.722341
28,1,3,0.0109273,0.0314375,0.697149
72.8,1,0.0002,0.00677682,0.0120914,0
72.8,1,0.000225544,0.00677682,0.0120914,0
72.8,1,0.00025435,0.00677682,0.0120914,0
72.8,1,0.00032347,0.00677682,0.0120914,0
72.8,1,0.000364784,0.00677682,0.0120914,0
72.8,1,0.000411374,0.00677682,0.0120914,0
72.8,1,0.000463915,0.00677682,0.0120914,0
72.8,1,0.00049265,0.00677682,0.0120914,0
72.8,1,0.000507679,0.00677682,0.0120914,0
72.8,1,0.000523166,0.00677682,0.0120914,0.534957
72.8,1,0.000539125,0.00677682,0.0120914,0.699238
72.8,1,0.000555571,0.00677682,0.0120914,0.777171
72.8,1,0.000572519,0.00677682,0.0120914,0.823477
72.8,1,0.000589984,0.00677682,0.0120914,0.854292
72.8,1,0.000607982,0.00677682,0.0120914,0.876283
72.8,1,0.000626529,0.00677682,0.0120914,0.892743
72.8,1,0.000665337,0.00677682,0.0120914,0.915633
72.8,1,0.000750313,0.00677682,0.0120914,0.940948
72.8,1,0.000846143,0.00677682,0.0120914,0.953285
72.8,1,0.000954212,0.00677682,0.0120914,0.95944
72.8,1,0.00107608,0.00677682,0.0120914,0.962472
72.8,1,0.00136851,0.00677682,0.0120914,0.96409
72.8,1,0.0015433,0.00677682,0.0120914,0.964258
72.8,1,0.00174041,0.00677682,0.0120914,0.964017
72.8,1,0.00221336,0.00677682,0.0120914,0.960706
72.8,1,0.00281485,0.00677682,0.0120914,0.955127
72.8,1,0.00357979,0.00677682,0.0120914,0.952138
72.8,1,0.0045526,0.00677682,0.0120914,0.948802
72.8,1,0.00578978,0.00677682,0.0120914,0.947604
72.8,1,0.00736316,0.00677682,0.0120914,0.949305
72.8,1,0.00936411,0.00677682,0.0120914,0.951875
72.8,1,0.0119088,0.00677682,0.0120914,0.953841
72.8,1,0.0151451,0.00677682,0.0120914,0.955636
72.8,1,0.0192608,0.00677682,0.0120914,0.956774
72.8,1,0.0244949,0.00677682,0.0120914,0.957463
72.8,1,0.0311514,0.00677682,0.0120914,0.958556
72.8,1,0.0396169,0.00677682,0.0120914,0.959522
72.8,1,0.0503828,0.00677682,0.0120914,0.960111
72.8,1,0.0640744,0.00677682,0.0120914,0.95987
72.8,1,0.0814868,0.00677682,0.0120914,0.958259
72.8,1,0.103631,0.00677682,0.0120914,0.955034
72.8,1,0.131793,0.00677682,0.0120914,0.950122
72.8,1,0.167608,0.00677682,0.0120914,0.943419
