surface,population,R_m,Oh,Bo,We,cor_theirs,We_ours,cor_ours
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,0.012384532,0.9433632,0.012381395,0.9433632
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,0.015029586,0.94189375,0.01502645,0.94189375
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,0.018239564,0.94078031,0.018236428,0.94078031
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,0.02213512,0.93906764,0.022131984,0.93906764
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,0.026862679,0.93749881,0.026859542,0.93749881
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,0.032599937,0.93525913,0.0325968,0.93525913
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,0.039562542,0.93291356,0.039559405,0.93291356
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,0.048012202,0.92977353,0.048009065,0.92977353
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,0.058266516,0.92611742,0.05826338,0.92611742
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,0.07071092,0.9216538,0.070707783,0.9216538
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,0.085813165,0.91628969,0.085810028,0.91628969
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,0.10414091,0.90981941,0.10413777,0.90981941
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,0.12638304,0.9022585,0.1263799,0.9022585
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,0.15337558,0.8934345,0.15337244,0.8934345
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,0.18613312,0.88334318,0.18612998,0.88334318
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,0.22588692,0.87182186,0.22588378,0.87182186
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,0.27413123,0.85898597,0.27412809,0.85898597
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,0.33267943,0.84475026,0.33267629,0.84475026
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,0.40373219,0.82921312,0.40372906,0.82921312
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,0.48996021,0.81252562,0.48995707,0.81252562
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,0.59460457,0.79468578,0.59460144,0.79468578
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,0.72159859,0.77591892,0.72159546,0.77591892
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,0.87571565,0.75629192,0.87571251,0.75629192
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,1.0627486,0.73599861,1.0627455,0.73599861
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,1.2897275,0.71519531,1.2897244,0.71519531
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,1.565184,0.69403215,1.5651809,0.69403215
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,1.8994718,0.67274419,1.8994686,0.67274419
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,2.3051557,0.65140646,2.3051526,0.65140646
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,2.7974846,0.63020193,2.7974815,0.63020193
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,3.3949637,0.6092157,3.3949606,0.6092157
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,4.1200508,0.58859,4.1200477,0.58859
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,5,0.56838382,4.9999969,0.56838382
glaco,small,4.8538987e-05,0.016941069,0.00032004651,9.4096916e-07,0,NaN,0
glaco,small,4.8538987e-05,0.016941069,0.00032004651,1.1419388e-06,0,NaN,0
glaco,small,4.8538987e-05,0.016941069,0.00032004651,1.3858309e-06,0,NaN,0
glaco,small,4.8538987e-05,0.016941069,0.00032004651,1.6818129e-06,0,NaN,0
glaco,small,4.8538987e-05,0.016941069,0.00032004651,2.0410099e-06,0,NaN,0
glaco,small,4.8538987e-05,0.016941069,0.00032004651,2.4769233e-06,0,NaN,0
glaco,small,4.8538987e-05,0.016941069,0.00032004651,3.0059378e-06,0,NaN,0
glaco,small,4.8538987e-05,0.016941069,0.00032004651,3.6479378e-06,0,NaN,0
glaco,small,4.8538987e-05,0.016941069,0.00032004651,4.4270543e-06,0,NaN,0
glaco,small,4.8538987e-05,0.016941069,0.00032004651,5.3725725e-06,0,NaN,0
glaco,small,4.8538987e-05,0.016941069,0.00032004651,6.5200319e-06,0,NaN,0
glaco,small,4.8538987e-05,0.016941069,0.00032004651,7.9125624e-06,0,NaN,0
glaco,small,4.8538987e-05,0.016941069,0.00032004651,9.6025059e-06,0,NaN,0
glaco,small,4.8538987e-05,0.016941069,0.00032004651,1.1653383e-05,0,NaN,0
glaco,small,4.8538987e-05,0.016941069,0.00032004651,1.2837656e-05,0,3.5795684e-08,0
glaco,small,4.8538987e-05,0.016941069,0.00032004651,1.3152071e-05,0,3.5021124e-07,0
glaco,small,4.8538987e-05,0.016941069,0.00032004651,1.3474188e-05,0.56437907,6.7232736e-07,0.56437907
glaco,small,4.8538987e-05,0.016941069,0.00032004651,1.3804193e-05,0.72989771,1.0023326e-06,0.72989771
glaco,small,4.8538987e-05,0.016941069,0.00032004651,1.4142281e-05,0.80175165,1.3404203e-06,0.80175165
glaco,small,4.8538987e-05,0.016941069,0.00032004651,1.4488649e-05,0.84248411,1.6867883e-06,0.84248411
glaco,small,4.8538987e-05,0.016941069,0.00032004651,1.48435e-05,0.86881595,2.0416394e-06,0.86881595
glaco,small,4.8538987e-05,0.016941069,0.00032004651,1.5207042e-05,0.88724563,2.4051814e-06,0.88724563
glaco,small,4.8538987e-05,0.016941069,0.00032004651,1.5579487e-05,0.9008687,2.7776272e-06,0.9008687
glaco,small,4.8538987e-05,0.016941069,0.00032004651,1.6351968e-05,0.91965408,3.5501075e-06,0.91965408
