backend,We,Oh,Bo,M,K,ok,cor,tc,wall_s,rejects,mode
nonvar/tangency,0.1,0.05,0.019,45,3,true,3.324965487723402e-27,24.811339780584806,7.642,0,ok
nonvar/tangency,0.1,0.1,0.019,45,3,true,8.792621989382005e-29,24.811339780584806,8.31,0,ok
nonvar/tangency,0.1,0.3,0.019,45,3,true,3.452550598927212e-27,24.811339780584806,11.544,0,ok
nonvar/tangency,0.1,0.7,0.019,45,3,true,1.9127905751946105e-28,24.811339780584806,28.188,0,ok
nonvar/tangency,0.3,0.02,0.019,45,3,true,3.9311116560936454e-28,24.888577530239008,5.866,0,ok
nonvar/tangency,0.3,0.05,0.019,45,3,true,2.418818252097162e-27,24.888577530239008,6.952,0,ok
nonvar/tangency,0.3,0.1,0.019,45,3,true,2.0188420839664427e-28,24.888577530239008,7.463,0,ok
nonvar/tangency,0.3,0.3,0.019,45,3,true,3.710143921439263e-27,24.888577530239008,9.806,0,ok
nonvar/tangency,0.3,0.7,0.019,45,3,true,2.0793293806198247e-28,24.888577530239008,22.785,0,ok
nonvar/tangency,1.0,0.02,0.019,45,3,true,2.4064515002392155e-28,24.940069363341806,5.569,0,ok
nonvar/tangency,1.0,0.05,0.019,45,3,true,3.449795643575963e-28,24.940069363341806,6.725,0,ok
nonvar/tangency,1.0,0.1,0.019,45,3,true,6.402952658832236e-28,24.940069363341806,6.91,0,ok
nonvar/tangency,1.0,0.3,0.019,45,3,true,2.0315372641457615e-28,24.940069363341806,8.642,0,ok
nonvar/tangency,1.0,0.7,0.019,45,3,true,4.1449025937645286e-29,24.940069363341806,19.343,0,ok
nonvar/tangency,2.0,0.02,0.019,45,3,true,4.4707804682222055e-28,24.955516913272646,5.44,0,ok
nonvar/tangency,2.0,0.05,0.019,45,3,true,5.843519346112541e-28,24.955516913272646,6.63,0,ok
nonvar/tangency,2.0,0.1,0.019,45,3,true,3.6373804450923856e-28,24.955516913272646,6.841,0,ok
nonvar/tangency,2.0,0.3,0.019,45,3,true,2.576317134563165e-28,24.955516913272646,8.293,0,ok
nonvar/tangency,2.0,0.7,0.019,45,3,true,3.19218122493768e-29,24.955516913272646,18.183,0,ok
nonvar/tangency,3.0,0.02,0.019,45,3,true,6.680138576700407e-28,24.965815279893206,5.455,0,ok
nonvar/tangency,3.0,0.05,0.019,45,3,true,4.739273065437477e-28,24.965815279893206,6.622,0,ok
nonvar/tangency,3.0,0.1,0.019,45,3,true,1.8537007829603757e-28,24.965815279893206,6.722,0,ok
nonvar/tangency,3.0,0.3,0.019,45,3,true,1.7634296267253248e-28,24.965815279893206,8.271,0,ok
nonvar/tangency,3.0,0.7,0.019,45,3,true,1.632384107013017e-28,24.965815279893206,17.342,0,ok
