case,gamma_N_per_m,mu_Pa_s,we_reported,we_true,Oh,Bo,cor
g30,0.03,0.001,0.012256055,0.02974136,0.0105568,0.0293417,0.9424433
g30,0.03,0.001,0.014536987,0.035276422,0.0105568,0.0293417,0.94330837
g30,0.03,0.001,0.017242416,0.041841597,0.0105568,0.0293417,0.94405469
g30,0.03,0.001,0.020451343,0.049628593,0.0105568,0.0293417,0.94464747
g30,0.03,0.001,0.024257473,0.0588648,0.0105568,0.0293417,0.94462889
g30,0.03,0.001,0.028771948,0.069819926,0.0105568,0.0293417,0.94428583
g30,0.03,0.001,0.034126596,0.082813874,0.0105568,0.0293417,0.94291523
g30,0.03,0.001,0.04047778,0.09822608,0.0105568,0.0293417,0.94074721
g30,0.03,0.001,0.048010961,0.1165066,0.0105568,0.0293417,0.93767082
g30,0.03,0.001,0.056946117,0.13818924,0.0105568,0.0293417,0.93338552
g30,0.03,0.001,0.067544164,0.16390717,0.0105568,0.0293417,0.92816797
g30,0.03,0.001,0.080114577,0.19441137,0.0105568,0.0293417,0.92182786
g30,0.03,0.001,0.095024426,0.23059261,0.0105568,0.0293417,0.91448184
g30,0.03,0.001,0.1127091,0.27350741,0.0105568,0.0293417,0.9060635
g30,0.03,0.001,0.133685,0.32440893,0.0105568,0.0293417,0.8966352
g30,0.03,0.001,0.15856466,0.38478357,0.0105568,0.0293417,0.88616747
g30,0.03,0.001,0.18807458,0.45639432,0.0105568,0.0293417,0.87466955
g30,0.03,0.001,0.2230765,0.54133231,0.0105568,0.0293417,0.86241091
g30,0.03,0.001,0.2645925,0.64207781,0.0105568,0.0293417,0.84908884
g30,0.03,0.001,0.31383491,0.76157271,0.0105568,0.0293417,0.83486342
g30,0.03,0.001,0.37224165,0.9033064,0.0105568,0.0293417,0.81982743
g30,0.03,0.001,0.44151826,1.0714177,0.0105568,0.0293417,0.80429056
g30,0.03,0.001,0.52368772,1.2708155,0.0105568,0.0293417,0.78797801
g30,0.03,0.001,0.62114944,1.5073227,0.0105568,0.0293417,0.77101501
g30,0.03,0.001,0.73674944,1.7878453,0.0105568,0.0293417,0.75380583
g30,0.03,0.001,0.87386335,2.1205751,0.0105568,0.0293417,0.73624086
g30,0.03,0.001,1.0364951,2.515228,0.0105568,0.0293417,0.71829116
g30,0.03,0.001,1.2293936,2.9833285,0.0105568,0.0293417,0.70041216
g30,0.03,0.001,1.4581919,3.5385456,0.0105568,0.0293417,0.68248039
g30,0.03,0.001,1.7295709,4.1970922,0.0105568,0.0293417,0.66461267
g30,0.03,0.001,2.0514555,4.9781986,0.0105568,0.0293417,0.64699624
g30,0.03,0.001,2.4332448,5.9046741,0.0105568,0.0293417,0.62959195
g30,0.03,0.001,2.8860877,7.0035728,0.0105568,0.0293417,0.61258387
g30,0.03,0.001,3.4232076,8.3069837,0.0105568,0.0293417,0.59589851
g30m2,0.03,0.002,0.00024182728,0.0005868342,0.0211135,0.0293417,0
g30m2,0.03,0.002,0.00028683293,0.0006960479,0.0211135,0.0293417,0
g30m2,0.03,0.002,0.00034021442,0.00082558699,0.0211135,0.0293417,0
g30m2,0.03,0.002,0.00040353056,0.00097923416,0.0211135,0.0293417,0
g30m2,0.03,0.002,0.00047863025,0.0011614761,0.0211135,0.0293417,0
g30m2,0.03,0.002,0.00056770649,0.0013776344,0.0211135,0.0293417,0
g30m2,0.03,0.002,0.0005924542,0.0014376889,0.0211135,0.0293417,0.22299081
g30m2,0.03,0.002,0.00061828073,0.0015003612,0.0211135,0.0293417,0.46509665
g30m2,0.03,0.002,0.00064523311,0.0015657657,0.0211135,0.0293417,0.57722535
g30m2,0.03,0.002,0.0006733604,0.0016340212,0.0211135,0.0293417,0.64768236
g30m2,0.03,0.002,0.00070271383,0.0017052522,0.0211135,0.0293417,0.69687535
g30m2,0.03,0.002,0.00073334684,0.0017795883,0.0211135,0.0293417,0.7333209
g30m2,0.03,0.002,0.00076531523,0.001857165,0.0211135,0.0293417,0.76128135
g30m2,0.03,0.002,0.0007986772,0.0019381233,0.0211135,0.0293417,0.78330683
g30m2,0.03,0.002,0.00083349349,0.0020226109,0.0211135,0.0293417,0.80112989
g30m2,0.03,0.002,0.00086982751,0.0021107814,0.0211135,0.0293417,0.81582994
g30m2,0.03,0.002,0.00090774543,0.0022027956,0.0211135,0.0293417,0.82814321
g30m2,0.03,0.002,0.00094731627,0.0022988208,0.0211135,0.0293417,0.83858943
g30m2,0.03,0.002,0.0010317081,0.0025036117,0.0211135,0.0293417,0.85530904
g30m2,0.03,0.002,0.0011236181,0.0027266465,0.0211135,0.0293417,0.86799853
g30m2,0.03,0.002,0.0013327308,0.0032340933,0.0211135,0.0293417,0.8855029
g30m2,0.03,0.002,0.0015807607,0.0038359794,0.0211135,0.0293417,0.89594506
g30m2,0.03,0.002,0.0018749507,0.0045498803,0.0211135,0.0293417,0.9013603
g30m2,0.03,0.002,0.0022238913,0.005396643,0.0211135,0.0293417,0.90459773
g30m2,0.03,0.002,0.0026377721,0.0064009937,0.0211135,0.0293417,0.90695137
g30m2,0.03,0.002,0.0031286789,0.0075922607,0.0211135,0.0293417,0.9081447
g30m2,0.03,0.002,0.0037109466,0.0090052304,0.0211135,0.0293417,0.90848173
g30m2,0.03,0.002,0.0044015781,0.010681163,0.0211135,0.0293417,0.91002705
g30m2,0.03,0.002,0.0052207408,0.012668998,0.0211135,0.0293417,0.91201791
g30m2,0.03,0.002,0.006192355,0.015026781,0.0211135,0.0293417,0.91397601
g30m2,0.03,0.002,0.0073447929,0.017823364,0.0211135,0.0293417,0.91576533
g30m2,0.03,0.002,0.0087117072,0.021140409,0.0211135,0.0293417,0.91778952
g30m2,0.03,0.002,0.010333013,0.025074779,0.0211135,0.0293417,0.91893921
g30m2,0.03,0.002,0.012256055,0.02974136,0.0211135,0.0293417,0.91990584
g30m2,0.03,0.002,0.014536987,0.035276422,0.0211135,0.0293417,0.92037091
g30m2,0.03,0.002,0.017242416,0.041841597,0.0211135,0.0293417,0.92019736
g30m2,0.03,0.002,0.020451343,0.049628593,0.0211135,0.0293417,0.91970608
g30m2,0.03,0.002,0.024257473,0.0588648,0.0211135,0.0293417,0.91832542
g30m2,0.03,0.002,0.028771948,0.069819926,0.0211135,0.0293417,0.91642159
g30m2,0.03,0.002,0.034126596,0.082813874,0.0211135,0.0293417,0.91350989
g30m2,0.03,0.002,0.04047778,0.09822608,0.0211135,0.0293417,0.90965518
g30m2,0.03,0.002,0.048010961,0.1165066,0.0211135,0.0293417,0.90488081
g30m2,0.03,0.002,0.056946117,0.13818924,0.0211135,0.0293417,0.8988909
g30m2,0.03,0.002,0.067544164,0.16390717,0.0211135,0.0293417,0.89187575
g30m2,0.03,0.002,0.080114577,0.19441137,0.0211135,0.0293417,0.88372502
g30m2,0.03,0.002,0.095024426,0.23059261,0.0211135,0.0293417,0.87434826
g30m2,0.03,0.002,0.1127091,0.27350741,0.0211135,0.0293417,0.86389649
g30m2,0.03,0.002,0.133685,0.32440893,0.0211135,0.0293417,0.85236303
g30m2,0.03,0.002,0.15856466,0.38478357,0.0211135,0.0293417,0.8396826
g30m2,0.03,0.002,0.18807458,0.45639432,0.0211135,0.0293417,0.82602897
g30m2,0.03,0.002,0.2230765,0.54133231,0.0211135,0.0293417,0.81150855
g30m2,0.03,0.002,0.2645925,0.64207781,0.0211135,0.0293417,0.79606982
g30m2,0.03,0.002,0.31383491,0.76157271,0.0211135,0.0293417,0.77984577
g30m2,0.03,0.002,0.37224165,0.9033064,0.0211135,0.0293417,0.76302529
g30m2,0.03,0.002,0.44151826,1.0714177,0.0211135,0.0293417,0.74566206
g30m2,0.03,0.002,0.52368772,1.2708155,0.0211135,0.0293417,0.7278523
g30m2,0.03,0.002,0.62114944,1.5073227,0.0211135,0.0293417,0.70966545
g30m2,0.03,0.002,0.73674944,1.7878453,0.0211135,0.0293417,0.69134549
g30m2,0.03,0.002,0.87386335,2.1205751,0.0211135,0.0293417,0.67291497
g30m2,0.03,0.002,1.0364951,2.515228,0.0211135,0.0293417,0.65441908
g30m2,0.03,0.002,1.2293936,2.9833285,0.0211135,0.0293417,0.63607618
g30m2,0.03,0.002,1.4581919,3.5385456,0.0211135,0.0293417,0.61789275
g30m2,0.03,0.002,1.7295709,4.1970922,0.0211135,0.0293417,0.59994175
g30m2,0.03,0.002,2.0514555,4.9781986,0.0211135,0.0293417,0.58230481
g30m2,0.03,0.002,2.4332448,5.9046741,0.0211135,0.0293417,0.56504906
g30m2,0.03,0.002,2.8860877,7.0035728,0.0211135,0.0293417,0.54815394
g30m2,0.03,0.002,3.4232076,8.3069837,0.0211135,0.0293417,0.53173967
