# Drop rebound on black silicon (BSi), water.
# Thenarianto et al. (2023).
# Converted from data/BSi_summary.xlsx by scripts/import_thenarianto.jl.
#
# The workbook carries impact speed and drop diameter; We, Oh and Bo are
# computed here from sigma = 0.072 N/m, rho = 997.0 kg/m^3, mu = 0.001 Pa s,
# the same water properties its own U_cap column assumes. The radius is
# taken from that U_cap column rather than from the "D (mm)" column, which
# changes meaning partway through BSi_summary; see the script for why.
We,cor,Oh,Bo,R_m,U_impact_m_s
0.3031074156,0.944406679,0.003240878149,0.2389601867,0.001326315789,0.1284675613
0.3092602624,0.795,0.003558687313,0.1643679125,0.0011,0.14249
0.3112188599,0.918904746,0.003240878149,0.2389601867,0.001326315789,0.1301751698
0.3135725827,0.837,0.003558687313,0.1643679125,0.0011,0.14348
0.3159812177,0.807,0.003558687313,0.1643679125,0.0011,0.14403
0.3202958061,0.825,0.003558687313,0.1643679125,0.0011,0.14501
0.3293504271,0.834795828,0.01257643866,0.001053769566,8.807588e-05,0.51966
0.3411439753,0.918446385,0.003240878149,0.2389601867,0.001326315789,0.136290019
0.3427882365,0.891607688,0.003240878149,0.2389601867,0.001326315789,0.1366180726
0.3480535467,0.905151587,0.003240878149,0.2389601867,0.001326315789,0.1376633174
0.3490999005,0.865,0.003558687313,0.1643679125,0.0011,0.15139
0.3574040565,0.859,0.003558687313,0.1643679125,0.0011,0.15318
0.3673540347,0.8753088453,0.01112949135,0.001718205458,0.00011246612,0.48568
0.3698296675,0.832,0.003558687313,0.1643679125,0.0011,0.15582
0.3746325372,0.899488331,0.003240878149,0.2389601867,0.001326315789,0.1428229325
0.3791650671,0.8140380495,0.01389511855,0.0007071757075,7.215191e-05,0.61604
0.4092647865,0.7527926178,0.01564550929,0.0004399644034,5.691057e-05,0.72065
0.409328727,0.875,0.003558687313,0.1643679125,0.0011,0.16393
0.4141871857,0.879,0.003558687313,0.1643679125,0.0011,0.1649
0.4156061529,0.850433494,0.003240878149,0.2389601867,0.001326315789,0.1504305985
0.4249051527,0.855828914,0.003240878149,0.2389601867,0.001326315789,0.1521041971
0.4269413435,0.893891375,0.003240878149,0.2389601867,0.001326315789,0.1524682113
0.4593618671,0.829,0.003558687313,0.1643679125,0.0011,0.17366
0.4620421682,0.861335106,0.003240878149,0.2389601867,0.001326315789,0.158611987
0.4715870061,0.85909683,0.003240878149,0.2389601867,0.001326315789,0.1602419105
0.4798473778,0.853,0.003558687313,0.1643679125,0.0011,0.17749
0.485450723,0.878476545,0.003240878149,0.2389601867,0.001326315789,0.1625802456
0.503110067,0.921197186,0.003240878149,0.2389601867,0.001326315789,0.1655109391
0.5077082005,0.839,0.003558687313,0.1643679125,0.0011,0.18257
0.527455296,0.887663077,0.003240878149,0.2389601867,0.001326315789,0.1694681263
0.5506921246,0.87839846,0.003240878149,0.2389601867,0.001326315789,0.1731608193
0.5763200326,0.895383215,0.003240878149,0.2389601867,0.001326315789,0.1771442488
0.5909412238,0.893323526,0.003240878149,0.2389601867,0.001326315789,0.1793772422
0.6213684739,0.7760416667,0.01661022888,0.0003463170648,5.049183e-05,0.94272
0.6762344592,0.847274093,0.003240878149,0.2389601867,0.001326315789,0.1918862466
0.6791059234,0.781,0.003558687313,0.1643679125,0.0011,0.21115
0.6842381025,0.7979868719,0.01414550059,0.0006584200929,6.962027e-05,0.84247
0.6935511608,0.891076892,0.003240878149,0.2389601867,0.001326315789,0.1943275837
0.7191521437,0.856411398,0.003240878149,0.2389601867,0.001326315789,0.19788168
0.7385671315,0.708,0.003558687313,0.1643679125,0.0011,0.2202
0.763936887,0.732,0.003558687313,0.1643679125,0.0011,0.22395
0.7850437698,0.867611317,0.003240878149,0.2389601867,0.001326315789,0.2067483893
0.8464361146,0.770964554,0.003240878149,0.2389601867,0.001326315789,0.2146803485
0.9470975696,0.780071653,0.003240878149,0.2389601867,0.001326315789,0.2270871502
1.014178192,0.826955458,0.003240878149,0.2389601867,0.001326315789,0.2349915971
1.17064025,0.818908181,0.003240878149,0.2389601867,0.001326315789,0.2524683404
1.23578997,0.7218600954,0.01414550059,0.0006584200929,6.962027e-05,1.1322
1.239240203,0.761785396,0.003240878149,0.2389601867,0.001326315789,0.2597604011
1.610465815,0.6991680659,0.01433934597,0.0006235323441,6.775068e-05,1.3102
1.649033358,0.757848928,0.003240878149,0.2389601867,0.001326315789,0.2996469901
1.89908596,0.596727891,0.003240878149,0.2389601867,0.001326315789,0.3215640654
1.948170345,0.6860166157,0.0113786361,0.00157259006,0.00010759496,1.1435
2.105753113,0.602324384,0.0130119681,0.0009196115144,8.22785e-05,1.3595
2.804416599,0.5733805844,0.01427587734,0.0006346950753,6.835444e-05,1.7213
2.939214941,0.5469175669,0.01379804251,0.0007272880386,7.317073e-05,1.7032
3.179079199,0.5774067203,0.01511499806,0.0005050611656,6.097561e-05,1.9404
3.438742308,0.627863102,0.003240878149,0.2389601867,0.001326315789,0.4327080902
5.045653304,0.492838757,0.003240878149,0.2389601867,0.001326315789,0.5241479628
5.165510058,0.5190719766,0.01170802754,0.001402947498,0.00010162601,1.9159
5.537804647,0.5518001102,0.01178687016,0.001365785072,0.000100271,1.9971
5.851503778,0.489795918,0.01125355739,0.001643679125,0.00011,1.96
5.991727393,0.4488112506,0.008997306323,0.004022780467,0.00017208671,1.5857
8.101390049,0.4519316909,0.01045804324,0.002203812426,0.00012737127,2.1432
8.379785,0.451219512,0.01180283056,0.0013584125,0.0001,2.46
8.713946167,0.414847162,0.0107744609,0.001956114,0.00012,2.29
9.833256583,0.4332844325,0.01298223461,0.0009280653253,8.265582e-05,2.9311
10.28492728,0.4288879664,0.008345860903,0.00543365163,0.00020000003,1.9271
10.44870434,0.4302824859,0.01140777138,0.001556586016,0.00010704607,2.655
10.48824843,0.3253059587,0.00641275066,0.01558830676,0.00033875338,1.4953
13.29745156,0.4061569401,0.009848303646,0.002802403314,0.00014363143,2.5857
13.8159391,0.2790518068,0.006628365256,0.01365685288,0.00031707316,1.7739
14.21763542,0.362162162,0.006814367403,0.0122257125,0.0003,1.85
28.73428433,0.3286410508,0.012387309,0.001119614401,9.07859e-05,4.7809
29.88727785,0.3257270358,0.0135494085,0.0007821589394,7.588076e-05,5.3333
37.98674884,0.3197970358,0.01403392414,0.0006796101583,7.07317e-05,6.2277
