We;R (m);tc (s);epsilon;Oh;Bo
0,051480604;0,000272495;0,0022;0,660607696;0,13119044;0,011820959
0,022243656;0,000269835;0,0025;0,662149213;0,131835479;0,011591303
0,010159451;0,000267666;0,0028;0,633316363;0,132368594;0,011405692
0,004059508;0,000265995;0,0033;0,536802555;0,132783745;0,011263719
0,611290409;0,000276423;0,0016;0,540727332;0,130255076;0,01216418
0,180062532;0,000275029;0,0018;0,615086314;0,130584796;0,012041789
0,594867364;0,000278305;0,0016;0,549377381;0,129813947;0,012330368
0,804321233;0,000282383;0,0015;0,528166149;0,128873049;0,012694425
0,207242738;0,000257558;0,0017;0,622142927;0,134941171;0,010560477
0,086171681;0,000283328;0,002;0,658714853;0,128658154;0,012779451
0,983032695;0,000275104;0,0014;0,510409909;0,130567012;0,01204835
0,257061637;0,000273049;0,0017;0,605015086;0,131057312;0,011869063
1,229099408;0,000280628;0,0013;0,508968209;0,129275403;0,012537122
0,312520223;0,000281838;0,0016;0,628959094;0,128997713;0,012645424
1,237273194;0,000282569;0,0013;0,5036716;0,128830772;0,012711096
1,456495015;0,000276459;0,0013;0,515288078;0,130246521;0,012167376
1,431162209;0,000279173;0,0013;0,500725795;0,129612027;0,012407385
1,618632194;0,000277771;0,0013;0,49735327;0,129938612;0,012283116
1,614611417;0,000279123;0,0013;0,480788135;0,129623593;0,012402957
0,379396027;0,000280661;0,0016;0,592937475;0,129267917;0,012540026
1,625089688;0,00028121;0,0013;0,486279388;0,129141565;0,012589175
